Time_s,full_timbre_Hz,nicki_timbre_Hz,ariana_timbre_Hz
0.0,135.612,0.0,0.0
0.18567,97.232,0.0,0.0
0.37161,21.256,0.0,0.0
0.50939,-5.06400000000001,0.0,0.0
0.84676,92.5909999999999,0.0,0.0
0.92259,32.871,0.0,0.0
1.34122,-28.8559999999999,0.0,0.0
1.4629,-137.441,0.0,0.0
1.54363,-65.5069999999999,0.0,0.0
1.98005,30.717,0.0,0.0
2.38717,-114.282999999999,0.0,0.0
2.51438,28.745,0.0,0.0
2.5941,23.7399999999999,0.0,0.0
2.66417,58.849,0.0,0.0
2.79234,96.153,0.0,0.0
2.96517,150.495,0.0,0.0
3.71515,129.917,0.0,0.0
3.88476,129.411999999999,0.0,0.0
4.68481,118.389999999999,0.0,0.0
5.00961,89.521,0.0,0.0
5.08612,137.422,0.0,0.0
5.23007,126.483,0.0,0.0
5.75279,105.839999999999,0.0,0.0
5.8454,55.2109999999999,0.0,0.0
6.11828,132.643,0.0,0.0
6.70376,36.3049999999999,0.0,0.0
6.7858,18.375,0.0,0.0
6.8966,-15.6909999999999,0.0,0.0
7.04118,19.6939999999999,0.0,0.0
7.13451,42.4199999999999,0.0,0.0
7.29125,23.0179999999999,0.0,0.0
7.52363,52.515,0.0,0.0
7.95351,-120.461999999999,0.0,0.0
8.14435,-155.356,0.0,0.0
8.24381,-119.327999999999,0.0,0.0
8.44059,-75.983,0.0,0.0
8.82327,-87.323,0.0,0.0
8.95256,-73.396,0.0,0.0
9.06626,-109.497,0.0,0.0
9.3566,-8.13399999999999,0.0,0.0
9.69483,-9.43399999999999,0.0,0.0
10.5712,23.5929999999999,0.0,0.0
10.96621,-44.095,0.0,0.0
11.09796,-42.677,0.0,0.0
11.25556,-4.93,0.0,0.0
11.35433,-41.818,0.0,0.0
11.5634,-3.634,0.0,0.0
11.74984,18.2259999999999,0.0,0.0
12.17297,-36.019,0.0,0.0
12.31206,-56.1369999999999,0.0,0.0
12.42943,-12.4129999999999,0.0,0.0
12.76426,-35.2199999999999,0.0,0.0
13.39832,-31.893,0.0,0.0
13.47374,2.813,0.0,0.0
13.81098,49.674,0.0,0.0
14.45456,39.017,0.0,39.017
14.6346,-5.46399999999999,0.0,-5.46399999999999
15.34286,1.531,0.0,1.531
15.54485,50.961,0.0,50.961
15.61528,-1.65799999999998,0.0,-1.65799999999998
15.76617,32.265,0.0,32.265
15.86431,30.2099999999999,0.0,30.2099999999999
16.01755,-6.39099999999999,0.0,-6.39099999999999
16.50435,0.173000000000001,0.0,0.173000000000001
16.63846,-28.1259999999999,0.0,-28.1259999999999
16.82259,65.6099999999999,0.0,65.6099999999999
17.10268,-23.9199999999999,0.0,-23.9199999999999
17.20027,28.297,0.0,28.297
17.32726,10.2609999999999,0.0,10.2609999999999
17.38875,-17.086,0.0,-17.086
17.54222,39.955,0.0,39.955
18.36163,342.876,0.0,342.876
19.43488,177.426,0.0,177.426
20.07229,-146.65,0.0,-146.65
20.25964,-216.921,0.0,-216.921
20.52594,78.5049999999999,0.0,78.5049999999999
21.05102,-141.042,0.0,-141.042
21.12862,-97.9719999999999,0.0,-97.9719999999999
21.57193,-63.0889999999999,0.0,-63.0889999999999
21.76063,-80.883,0.0,-80.883
22.18608,-212.271999999999,0.0,-212.271999999999
22.66481,61.0939999999999,0.0,61.0939999999999
22.84331,-57.8699999999999,0.0,-57.8699999999999
23.06286,98.3639999999999,0.0,98.3639999999999
23.21868,59.93,0.0,59.93
23.93229,-45.537,0.0,-45.537
24.49556,-122.572,0.0,-122.572
24.81728,-67.329,0.0,-67.329
25.37397,-212.28,0.0,-212.28
25.51805,-207.091,0.0,-207.091
25.7166,-283.843,0.0,-283.843
25.79846,-68.65,0.0,-68.65
26.06358,59.6139999999999,0.0,59.6139999999999
26.95302,251.503,0.0,251.503
27.56218,140.804,0.0,140.804
27.98005,142.593,0.0,142.593
28.39841,4.69,0.0,4.69
28.55025,-109.048999999999,0.0,-109.048999999999
28.84104,-224.495999999999,0.0,-224.495999999999
29.08567,73.9,0.0,73.9
29.62649,-220.555,0.0,-220.555
29.94404,-148.05,0.0,-148.05
30.25007,86.996,0.0,86.996
30.40227,121.167,0.0,121.167
30.71986,-84.3339999999999,0.0,-84.3339999999999
31.18304,-36.731,0.0,-36.731
31.63143,-26.6929999999999,0.0,-26.6929999999999
31.75193,131.067999999999,0.0,131.067999999999
32.38594,40.0599999999999,0.0,40.0599999999999
32.5429,-10.5699999999999,0.0,-10.5699999999999
32.99048,-247.654,0.0,-247.654
33.06943,-66.567,0.0,-66.567
33.34032,-43.007,0.0,-43.007
33.52245,-137.253,0.0,-137.253
34.03084,-184.715999999999,0.0,-184.715999999999
34.42848,8.474,0.0,8.474
34.89392,415.162,0.0,415.162
35.09147,335.130999999999,0.0,335.130999999999
35.32336,161.358,0.0,161.358
35.53778,106.172999999999,0.0,106.172999999999
35.85138,150.607999999999,0.0,150.607999999999
